"OCH","A L Mangham Jr. Regional","Nacogdoches, TX","United States","US",31.600000,-94.650000,67,"Verenigde Staten",\N,4713735,6252001
"AYE","AAF Heliport","Fort Devens","United States","US",19.833333,-72.500000,67,"Verenigde Staten",\N,\N,6252001
"ARA","Acadiana Regional","New Iberia","United States","US",80.133333,32.583333,67,"Verenigde Staten",\N,4334971,6252001
"MFV","Accomack County","Melfa","United States","US",13.633333,39.133333,67,"Verenigde Staten",\N,\N,6252001
"ADK","Adak Island Ns","Adak Island","United States","US",51.878056,-176.646111,67,"Verenigde Staten",\N,\N,6252001
"LIT","Adams Field Airport","Little Rock, AR","United States","US",34.729444,-92.224444,67,"Verenigde Staten",\N,5035199,6252001
"ADS","Addison Airport","Dallas","United States","US",32.968611,-96.836389,67,"Verenigde Staten",\N,5722064,6252001
"SLK","Adirondack","Saranac Lake","United States","US",44.400000,-74.200000,67,"Verenigde Staten",\N,5136322,6252001
"INS","Af Aux","Indian Springs","United States","US",46.283333,22.100000,67,"Verenigde Staten",\N,5506040,6252001
"HST","AFB","Homestead","United States","US",25.483333,-80.483333,67,"Verenigde Staten",\N,5194067,6252001
"MUO","AFB","Mountain Home","United States","US",-32.816667,27.133333,67,"Verenigde Staten",\N,5601615,6252001
"OHC","AFS","Northeast Cape","United States","US",63.316667,-168.966667,67,"Verenigde Staten",\N,\N,6252001
"PML","AFS","Port Moller","United States","US",55.983333,-160.533333,67,"Verenigde Staten",\N,\N,6252001
"ANW","Ainsworth","Ainsworth","United States","US",42.583333,-99.983333,67,"Verenigde Staten",\N,5062769,6252001
"HWD","Air Terminal","Hayward","United States","US",37.666667,-122.083333,67,"Verenigde Staten","Hayward",5355933,6252001
"MDD","Airpark","Midland","United States","US",44.750000,-79.900000,67,"Verenigde Staten",\N,5803357,6252001
"VIK","Airstrip","Kavik","United States","US",39.733333,36.400000,67,"Verenigde Staten",\N,\N,6252001
"AKK","Akhiok SPB","Akhiok","United States","US",56.950000,-154.166667,67,"Verenigde Staten",\N,\N,6252001
"AKI","Akiak","Akiak","United States","US",60.900000,-161.233333,67,"Verenigde Staten",\N,\N,6252001
"CAK","Akron/canton Regional","Akron/Canton, OH","United States","US",40.916111,-81.442222,67,"Verenigde Staten",\N,5574199,6252001
"KQA","Akutan","Akutan","United States","US",54.116667,-165.750000,67,"Verenigde Staten",\N,\N,6252001
"AUK","Alakanuk","Alakanuk","United States","US",62.683333,-164.633333,67,"Verenigde Staten",\N,\N,6252001
"CVO","Albany","Albany","United States","US",44.500000,-123.283333,67,"Verenigde Staten",\N,5710756,6252001
"ALB","Albany International","Albany","United States","US",42.733333,-73.800000,67,"Verenigde Staten",\N,5710756,6252001
"CHO","Albemarle","Charlottesville","United States","US",38.133333,-78.450000,67,"Verenigde Staten",\N,4752031,6252001
"OAJ","Albert J Ellis","Jacksonville","United States","US",34.716667,-77.416667,67,"Verenigde Staten",\N,5733409,6252001
"AEL","Albert Lea","Albert Lea","United States","US",43.683333,-93.366667,67,"Verenigde Staten",\N,5016024,6252001
"FEP","Albertus","Freeport","United States","US",42.266667,-89.583333,67,"Verenigde Staten",\N,5190486,6252001
"ABQ","Albuquerque International","Albuquerque","United States","US",35.040278,-106.609167,67,"Verenigde Staten","Albuquerque",5454711,6252001
"WKK","Aleknagik","Aleknagik","United States","US",59.266667,-158.633333,67,"Verenigde Staten",\N,\N,6252001
"AED","Aleneva","Aleneva","United States","US",-0.600000,10.083333,67,"Verenigde Staten",\N,\N,6252001
"ISW","Alexander Field","Wisconsin Rapids","United States","US",44.766667,-89.677778,67,"Verenigde Staten",\N,5279436,6252001
"AXN","Alexandria","Alexandria","United States","US",45.783333,-95.266667,67,"Verenigde Staten",\N,5082573,6252001
